date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:10:16	1248/1248	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe24a-4e0-57fb668604173%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/camera-diaphragm.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/camera-diaphragm.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:18	818/818	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe281-332-57fb669b0d8a3%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/new-tab.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/new-tab.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:18	2415/2415	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe27b-96f-57fb6699672e2%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/layers.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/layers.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:20	1027/1027	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe29d-403-57fb66a89427a%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/share.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/share.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:20	1597/1597	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe23f-63d-57fb66821bdb0%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/adobe-illustrator.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/adobe-illustrator.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:21	77479/77479	---M--	200	added ('OK')	image/jpeg	etag:%2216fe21a-12ea7-57fb65a260bd8%22	http://frenify.com/envato/marketify/html/arlo/1/img/about/1.jpg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/about/1.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:21	1313/1313	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2216fe298-521-57fb66a6a299c%22	http://frenify.com/envato/marketify/html/arlo/1/img/svg/seo-performance-marketing-graphic.svg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/svg/seo-performance-marketing-graphic.svg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:21	6718/6718	---MCZ	200	added ('OK')	text/html	etag:W/%2216fe2d9-1a3e-5800ba32ecb1c%22	http://frenify.com/envato/marketify/html/arlo/1/portfolio-single.html	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/portfolio-single.html	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:22	5347/5347	---M--	200	added ('OK')	image/jpeg	etag:%2216fe237-14e3-57fb6679ed25e%22	http://frenify.com/envato/marketify/html/arlo/1/img/portfolio/600x600.jpg	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/img/portfolio/600x600.jpg	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
16:10:26	6712/6712	---MCZ	200	added ('OK')	text/html	etag:W/%2216fe2da-1a38-5800ba332a762%22	http://frenify.com/envato/marketify/html/arlo/1/portfolio-single-2.html	/home/prasad/websites/personal%20site%20template/frenify.com/envato/marketify/html/arlo/1/portfolio-single-2.html	(from http://frenify.com/envato/marketify/html/arlo/1/index-3.html)
